"r","Sd","ESS","sample_size","method","Period","avg_accuracy","avg_precision","avg_agreementindex","prop_agrementindex_over_60","avg_accuracy_agreementindex_over_60"
0.03,20,40,40,"OLE_resamp_unif","Pleistocene",1,2185.13351816347,NA,NA,NA
0.03,20,40,40,"oxcal_trap","Holocene",0.992569002123142,290.432590233546,95.3822080679406,1,0.992569002123142
0.03,20,40,40,"oxcal_trap","Pleistocene",0.984,472.385,93.9095,0.923,0.986998916576381
0.03,20,40,40,"oxcal_unif","Holocene",0.670305676855895,152.288755458515,93.0901091703057,1,0.670305676855895
0.03,20,40,40,"oxcal_unif","Pleistocene",0.807,323.553,88.27579,0.912,0.805921052631579
0.03,20,40,80,"OLE_medians","Holocene",0.815653964984552,729.228924011506,NA,NA,NA
0.03,20,40,80,"OLE_medians","Pleistocene",0.968,1096.12618837653,NA,NA,NA
0.03,20,40,80,"OLE_resamp_caldate","Holocene",0.956745623069001,798.484522346052,NA,NA,NA
0.03,20,40,80,"OLE_resamp_caldate","Pleistocene",0.999,1339.66721517897,NA,NA,NA
0.03,20,40,80,"OLE_resamp_norm","Holocene",0.989701338825953,886.304413660867,NA,NA,NA
0.03,20,40,80,"OLE_resamp_norm","Pleistocene",1,1694.88428224762,NA,NA,NA
0.03,20,40,80,"OLE_resamp_unif","Holocene",0.983522142121524,889.613126658659,NA,NA,NA
0.03,20,40,80,"OLE_resamp_unif","Pleistocene",1,1525.45944256282,NA,NA,NA
0.03,20,80,80,"CRIWM","Holocene",0.759,129.899,NA,NA,NA
0.03,20,80,80,"CRIWM","Pleistocene",0.312,337.927,NA,NA,NA
0.03,20,80,80,"OLE_medians","Holocene",0.786817713697219,1181.92234539,NA,NA,NA
0.03,20,80,80,"OLE_medians","Pleistocene",0.945,1562.04158474667,NA,NA,NA
0.03,20,80,80,"OLE_resamp_caldate","Holocene",0.932028836251287,1239.97898695079,NA,NA,NA
0.03,20,80,80,"OLE_resamp_caldate","Pleistocene",0.997,1836.08080360632,NA,NA,NA
0.03,20,80,80,"OLE_resamp_norm","Holocene",0.972193614830072,1314.93156968733,NA,NA,NA
0.03,20,80,80,"OLE_resamp_norm","Pleistocene",1,2169.12493813972,NA,NA,NA
0.03,20,80,80,"OLE_resamp_unif","Holocene",0.963954685890834,1328.96579571402,NA,NA,NA
0.03,20,80,80,"OLE_resamp_unif","Pleistocene",1,2122.27101531587,NA,NA,NA
0.03,20,80,80,"oxcal_trap","Holocene",0.979872881355932,193.060911016949,92.889968220339,1,0.979872881355932
0.03,20,80,80,"oxcal_trap","Pleistocene",0.991,363.6625,93.65513,0.911,0.993413830954994
0.03,20,80,80,"oxcal_unif","Holocene",0.487404162102957,106.826396495071,89.3657064622125,0.997809419496167,0.487376509330406
0.03,20,80,80,"oxcal_unif","Pleistocene",0.701,237.013,84.3693,0.857,0.683780630105018
0.03,50,5,10,"OLE_medians","Holocene",0.939300411522634,3621.00269103004,NA,NA,NA
0.03,50,5,10,"OLE_medians","Pleistocene",0.972,4601.26643614463,NA,NA,NA
